index,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
7266,7267,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Coding Bootcamp",Technical documentation;Blogs;How-to videos;Interactive tutorial;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository,4,3,"Developer, front-end",10 to 19 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community;Frequent updates to features,"Iran, Islamic Republic of...",IRR	Iranian rial,3000000000.0,HTML/CSS;JavaScript,HTML/CSS;JavaScript;Kotlin,HTML/CSS;JavaScript,,,,,,,Angular;Express;jQuery;Laravel;NestJS;Next.js;Node.js;React,Angular;Express;jQuery;Laravel;NestJS;Next.js;Node.js;React,Angular;Express;jQuery;Laravel;NestJS;Next.js;Node.js;React,,,,,,,Composer;Docker;npm;Vite,Composer;Docker;Gradle;Kubernetes;npm;Vite,Composer;Docker;npm;Vite,Fleet;PhpStorm;Sublime Text;Vim;Visual Studio Code;VSCodium;WebStorm,Android Studio;Visual Studio Code,Visual Studio Code,Android;Debian;Fedora;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;Debian;Fedora;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Clickup;Trello,,,Google Meet;Skype;Whatsapp,Google Meet;Whatsapp,Google Meet;Whatsapp,ChatGPT;Codeium;Tabnine;Visual Studio Intellicode;You.com,ChatGPT;Codeium;Google Gemini;Tabnine;Visual Studio Intellicode;You.com,ChatGPT;Codeium;Tabnine;Visual Studio Intellicode;You.com,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,"No, but I plan to soon",Indifferent,,,,,,,,,,,,I'm not sure,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,71280.0,
58833,58834,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository,18,12,Engineering manager,"10,000 or more employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me,,,Ecuador,USD	United States dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,,,Yes,Very favorable,Greater efficiency;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42866,42867,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Apples,Professional development or self-paced learning from online courses;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,15,12,"Developer, desktop or enterprise applications",100 to 499 employees,I have some influence,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,Is set up to be customized and needs to be engineered into a usable product,Customization;Integrated developer community;Quality support system;Frequent updates to features,United Arab Emirates,AED United Arab Emirates dirham,,C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE,,,,.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),Visual Studio Solution,Visual Studio Solution,Visual Studio Solution,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Azure Devops,Azure Devops,Azure Devops,Cisco Webex Teams;Microsoft Teams;Telegram;Whatsapp,Cisco Webex Teams;Microsoft Teams;Telegram;Whatsapp,Cisco Webex Teams;Microsoft Teams;Telegram;Whatsapp,ChatGPT;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,A few times per week,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,Neutral,"No, but I plan to soon",Indifferent,,,,,,,,,,,,I'm not sure,Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,11.0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Number of software tools in use;Tracking my work;Complexity of tech stack for deployment;Maintaining security of code being produced,Innersource initiative,On-prem,A coworker,Manufacturing,100.0,75.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,Appropriate in length,Easy,,9.0
46342,46343,I am a developer by profession,Under 18 years old,"Independent contractor, freelancer, or self-employed",In-person,Apples,Freelance/contract work,,,,,,,,,,,,,,,,Ada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,3001,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Books / Physical media;On the job training;Online Courses or Certification,,,14,10,Other (please specify):,"1,000 to 4,999 employees",I have a great deal of influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,Customization;Reputation for quality and excellence;Connected to an open source project,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,163000.0,Bash/Shell (all shells);Kotlin;Python;SQL,Kotlin;Python;SQL,Kotlin;Python;SQL,PostgreSQL;Redis;Snowflake,PostgreSQL;Redis;Snowflake,PostgreSQL;Redis;Snowflake,Cloudflare;Google Cloud,Google Cloud,Google Cloud,Flask,Flask,Flask,,,,RabbitMQ;Ruff,RabbitMQ;Ruff,RabbitMQ;Ruff,Docker;Terraform,Docker;Terraform,Docker;Terraform,Android Studio;Emacs;Visual Studio Code,Emacs,Emacs,Ubuntu;Windows,Ubuntu,Linear;Shortcut,Linear,Linear,Slack;Zoom,Slack;Zoom,Slack;Zoom,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,10.0,Strongly agree,Neither agree nor disagree,Agree,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Easy,207642.0,
65090,65091,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",On the job training,,,3,2,"Developer, front-end",100 to 499 employees,I have some influence,Visit developer communities like Stack Overflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unsure,Increase productivity;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,"Good, but not great at handling complex tasks",,,,,,,,,I'm not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18388,18389,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,8,5,Other (please specify):,20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Other (please specify):,Is set up to be customized and needs to be engineered into a usable product,Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features;Other:,Ukraine,EUR European Euro,75000.0,Python,Python,Python,MongoDB,MongoDB;MySQL,MongoDB,Microsoft Azure,Microsoft Azure,Microsoft Azure,FastAPI;Flask,FastAPI;Flask,FastAPI;Flask,,,,,,,,,,IntelliJ IDEA;Notepad++,IntelliJ IDEA;Notepad++,IntelliJ IDEA;Notepad++,Android;iPadOS;MacOS,Android;Debian;MacOS;Windows;Windows Subsystem for Linux (WSL),Confluence;Jira;Miro,Confluence;Jira;Miro,Confluence;Jira;Miro,Microsoft Teams,Google Meet;Microsoft Teams,Microsoft Teams,ChatGPT;Snyk Code,ChatGPT;GitHub Copilot;Snyk Code,ChatGPT;Snyk Code,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Favorable,Other (please specify):,Somewhat distrust,Neither good or bad at handling complex tasks,Search for answers,Writing code;Documenting code;Debugging and getting help;Testing code;Predictive analytics,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring;Generating content or synthetic data,,,Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Yes,People manager,6.0,Agree,Neither agree nor disagree,,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,,,,30-60 minutes a day,60-120 minutes a day,Tracking my work;Reliability of tools/systems used in work,,Cloud only (single or multi-cloud),Traditional public search engine,Other:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Too long,Easy,80555.0,7.0
2549,2550,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;School or academic work;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,10,6,"Developer, back-end",500 to 999 employees,I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Colombia,COP	Colombian peso,216000000.0,Scala;TypeScript,Scala;TypeScript,Scala;TypeScript,Dynamodb,Dynamodb;Elasticsearch;Neo4J;PostgreSQL;Redis,Dynamodb,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,,,,,,Docker;npm,Docker,Docker,Visual Studio Code,Visual Studio Code,Visual Studio Code,MacOS;Windows Subsystem for Linux (WSL),Windows Subsystem for Linux (WSL),Clickup;Confluence;GitHub Discussions;Jira;Markdown File,Clickup;Confluence;GitHub Discussions;Markdown File;Stack Overflow for Teams,Clickup;Confluence;GitHub Discussions;Markdown File,Discord;Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,Discord;Slack;Zoom,Discord;Slack;Zoom,,,,Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,6.0,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,1-2 times a week,6-10 times a week,Never,15-30 minutes a day,30-60 minutes a day,Complexity of tech stack for deployment;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),A coworker,Software Development,0.0,35.0,0.0,20.0,10.0,20.0,10.0,0.0,5.0,Appropriate in length,Neither easy nor difficult,54504.0,10.0
16617,16618,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;Colleague;On the job training;Online Courses or Certification,,,13,10,"Developer, full-stack",10 to 19 employees,I have some influence,Start a free trial;Ask developers I know/work with,Out-of-the-box is ready to go with little need for customization,Reputation for quality and excellence,Belgium,EUR European Euro,50000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;Elixir;HTML/CSS;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor,ASP.NET CORE;Phoenix;React,ASP.NET CORE,,,,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,.NET (5+) ,Chocolatey;Docker;MSBuild;npm;NuGet;Visual Studio Solution,Docker;Kubernetes;npm;NuGet,Docker;npm;NuGet,DataGrip;Rider;Visual Studio;Visual Studio Code,DataGrip;Rider;Visual Studio Code,DataGrip;Rider;Visual Studio Code,Windows,iOS;MacOS;Ubuntu,Azure Devops,Azure Devops,Azure Devops,Discord;Microsoft Teams;Signal;Slack;Telegram;Whatsapp;Wire,Matrix;Signal;Slack,Signal;Slack,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Favorable,Increase productivity,Somewhat trust,"Good, but not great at handling complex tasks",Writing code,Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,Project planning,,Writing code,,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,10.0,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,6-10 times a week,10+ times a week,10+ times a week,15-30 minutes a day,30-60 minutes a day,Amount of technical debt;Tracking my work;Complexity of tech stack for deployment;Complexity of tech stack for build,Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,"Transportation, or Supply Chain",10.0,0.0,0.0,30.0,20.0,40.0,0.0,0.0,0.0,Appropriate in length,Easy,53703.0,7.0
17937,17938,I code primarily as a hobby,18-24 years old,"Student, full-time",,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Books / Physical media,,,7,,Student,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,,,,,,,,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
60728,60729,I am a developer by profession,55-64 years old,"Independent contractor, freelancer, or self-employed",In-person,Apples,Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Books;Written Tutorials;How-to videos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22956,22957,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Associate degree (A.A., A.S., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,8,4,"Developer, front-end",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features,Ukraine,USD	United States dollar,3250.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,Dynamodb;MySQL,MySQL;PostgreSQL,MySQL,,,,Node.js;Vue.js,Astro;NestJS;Node.js;Vue.js,Node.js;Vue.js,,,,,,,Docker;Homebrew;Make;npm;Vite;Webpack;Yarn,Docker;Homebrew;Make;npm;Vite,Docker;Homebrew;Make;npm;Vite,Visual Studio Code;WebStorm,Visual Studio Code;WebStorm,Visual Studio Code;WebStorm,Other Linux-based,MacOS,Confluence;GitHub Discussions;Jira;Notion,Confluence;GitHub Discussions;Jira;Notion,Confluence;GitHub Discussions;Jira;Notion,Microsoft Teams;Slack,Microsoft Teams;Slack,Microsoft Teams;Slack,ChatGPT;Google Gemini,ChatGPT,ChatGPT,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"No, not really",Yes,Favorable,Increase productivity;Speed up learning,Neither trust nor distrust,Bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,Project planning;Generating content or synthetic data,Learning about a codebase;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,4.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",20.0,0.0,0.0,25.0,20.0,10.0,0.0,0.0,25.0,Too long,Neither easy nor difficult,3250.0,7.0
31224,31225,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free),10,2,"Developer, desktop or enterprise applications",500 to 999 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Integrated developer community;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,China,CNY	Chinese Yuan Renminbi,270000.0,C++;Dart;Lua;Python,C++;Lua;Python,C++;Lua;Python,,,,Digital Ocean;Heroku;VMware,Digital Ocean;VMware,Digital Ocean;VMware,,,,CMake;MSVC,CMake;MSVC,CMake;MSVC,Flutter;Qt,Qt,Qt,Google Test;MSBuild;Pip;Visual Studio Solution,Google Test;MSBuild;Pip;Visual Studio Solution,Google Test;MSBuild;Pip;Visual Studio Solution,Android Studio;CLion;Fleet;IntelliJ IDEA;PyCharm;Visual Studio;Visual Studio Code;Xcode,CLion;IntelliJ IDEA;PyCharm;Visual Studio;Visual Studio Code,CLion;IntelliJ IDEA;PyCharm;Visual Studio;Visual Studio Code,Android;Windows;Windows Subsystem for Linux (WSL),Debian;Windows,Doxygen;GitHub Discussions;Markdown File;Redmine,Doxygen;GitHub Discussions;Markdown File;Redmine,Doxygen;GitHub Discussions;Markdown File;Redmine,Discord;Microsoft Teams,Discord;Microsoft Teams,Discord;Microsoft Teams,ChatGPT;GitHub Copilot;Google Gemini,GitHub Copilot;Google Gemini,GitHub Copilot;Google Gemini,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,Bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Project planning;Deployment and monitoring;Predictive analytics,,,Learning about a codebase;Debugging and getting help;Testing code;Committing and reviewing code;Generating content or synthetic data,Writing code;Documenting code;Search for answers,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,2.0,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,1-2 times a week,1-2 times a week,3-5 times a week,Over 120 minutes a day,Less than 15 minutes a day,Amount of technical debt;Number of software tools in use;Showing my contributions;Reliability of tools/systems used in work,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,10.0,30.0,0.0,40.0,20.0,0.0,Too long,Neither easy nor difficult,37253.0,7.0
